paragraph_idx,media_hash,suggested_alt,suggested_figcaption,variant_matched,next_paragraph_text
341,c60c50f802b8,,,NO_MATCH,Hình 1.1
354,12da82b6f105,,,NO_MATCH,Hình 1.2
371,70b86f802d12,Ngẫu lực,Hình 1.3. Ngẫu lực,hinh_dau,Hình 1.3. Ngẫu lực
386,d48e0f8ef5c1,Lực liên kết và phản lực liên kết,Hình 1.4. Lực liên kết và phản lực liên kết,hinh_dau,Hình 1.4. Lực liên kết và phản lực liên kết
391,05d194126228,Cặp lực cân bằng,Hình 1.5. Cặp lực cân bằng,hinh_dau,Hình 1.5. Cặp lực cân bằng
402,dfc8df2ea653,Trượt lực,Hình 1.6. Trượt lực,hinh_dau,Hình 1.6. Trượt lực
408,463caa4668e0,Hình bình hành lực,Hình 1.7. Hình bình hành lực,hinh_dau,Hình 1.7. Hình bình hành lực
415,ad1b9a22be22,Tác dụng và phản tác dụng,Hình 1.8. Tác dụng và phản tác dụng,hinh_dau,Hình 1.8. Tác dụng và phản tác dụng
420,7589542cde38,Trạng thái kéo và nén của lò xo,Hình 1.9. Trạng thái kéo và nén của lò xo,hinh_dau,Hình 1.9. Trạng thái kéo và nén của lò xo
427,e2ffba6e4240,Giải phóng liên kết,Hình 1.10. Giải phóng liên kết,hinh_dau,Hình 1.10. Giải phóng liên kết
428,4bd9d1f62a82,Giải phóng liên kết,Hình 1.10. Giải phóng liên kết,hinh_dau,Hình 1.10. Giải phóng liên kết
434,485e4fa5e19a,Liên kết tựa,Hình 1.11.  Liên kết tựa,hinh_dau,Hình 1.11.  Liên kết tựa
439,8a6ad76bb88e,"Liên kết dây mềm, thẳng","Hình 1.12. Liên kết dây mềm, thẳng",hinh_dau,"Hình 1.12. Liên kết dây mềm, thẳng"
445,109d08dd0bfc,Liên kết bản lề,Hình 1.13.  Liên kết bản lề,hinh_dau,Hình 1.13.  Liên kết bản lề
449,8916b603e7cb,Liên kết gối,Hình 1.14.  Liên kết gối,hinh_dau,Hình 1.14.  Liên kết gối
452,0ead01d6b869,Liên kết gối cầu,Hình 1.15.  Liên kết gối cầu,hinh_dau,Hình 1.15.  Liên kết gối cầu
457,746cac91a887,Liên kết ngàm,Hình 1.16.  Liên kết ngàm,hinh_dau,Hình 1.16.  Liên kết ngàm
462,e185372337b1,Liên kết thanh,Hình 1.17. Liên kết thanh,hinh_dau,Hình 1.17. Liên kết thanh
475,1a7041d5095b,Véc tơ chính,Hình 1.18. Véc tơ chính,hinh_dau,Hình 1.18. Véc tơ chính
492,d4559f106928,Mômen chính,Hình 1.19. Mômen chính,hinh_dau,Hình 1.19. Mômen chính
577,5439163dbcac,3,Hình 1.23,hinh_dau,Hình 1.23
601,bf67e3079b8a,4,Hình 1.24,hinh_dau,Hình 1.24
622,e425037e8390,5,Hình 1.25,hinh_dau,Hình 1.25
630,f8ce9d920abb,6,Hình 1.26,hinh_dau,Hình 1.26
645,589875620c30,Ma sát tĩnh,Hình 1.27. Ma sát tĩnh,hinh_dau,Hình 1.27. Ma sát tĩnh
