"candidate_group","filename","path","folder","size_kb","used"
"1","hinh-033.png","images/ch1/hinh-033.png","ch1","172.42","True"
"1","hinh-033.png","images/ch3/hinh-033.png","ch3","88.77","True"
"2","hinh-036.png","images/ch1/hinh-036.png","ch1","369.86","True"
"2","hinh-036.png","images/ch2/hinh-036.png","ch2","24.54","True"
"3","hinh-043.png","images/ch1/hinh-043.png","ch1","296.61","True"
"3","hinh-043.png","images/ch3/hinh-043.png","ch3","6.85","True"
"4","hinh-050.png","images/ch1/hinh-050.png","ch1","175.08","True"
"4","hinh-050.png","images/ch2/hinh-050.png","ch2","135.83","True"
"4","hinh-050.png","images/ch3/hinh-050.png","ch3","198.41","True"
"5","hinh-056.png","images/ch1/hinh-056.png","ch1","186.9","True"
"5","hinh-056.png","images/ch2/hinh-056.png","ch2","174.02","True"
"6","hinh-111.png","images/ch2/hinh-111.png","ch2","103.32","True"
"6","hinh-111.png","images/ch3/hinh-111.png","ch3","27.77","True"
"7","hinh-121.png","images/ch1/hinh-121.png","ch1","45.56","True"
"7","hinh-121.png","images/ch2/hinh-121.png","ch2","341.59","True"
"8","hinh-133.png","images/ch1/hinh-133.png","ch1","18.7","True"
"8","hinh-133.png","images/ch3/hinh-133.png","ch3","23.12","True"
"9","hinh-173.png","images/ch1/hinh-173.png","ch1","157.57","True"
"9","hinh-173.png","images/ch2/hinh-173.png","ch2","20.98","True"
"10","hinh-195.png","images/ch1/hinh-195.png","ch1","231.54","True"
"10","hinh-195.png","images/ch2/hinh-195.png","ch2","30.45","True"
"11","hinh-208.png","images/ch1/hinh-208.png","ch1","205.42","True"
"11","hinh-208.png","images/ch2/hinh-208.png","ch2","13.05","True"
"12","hinh-217.png","images/ch1/hinh-217.png","ch1","283.31","True"
"12","hinh-217.png","images/ch3/hinh-217.png","ch3","316.15","True"
"13","hinh-224.png","images/ch1/hinh-224.png","ch1","71.65","True"
"13","hinh-224.png","images/ch3/hinh-224.png","ch3","313.66","True"
"14","hinh-229.png","images/ch1/hinh-229.png","ch1","79.17","True"
"14","hinh-229.png","images/ch2/hinh-229.png","ch2","91.92","True"
