"path","reference_count","sources","size_kb"
"images/ch1/hinh-1-01.png","2","chapters/ch1/muc-I-4.html; js/pages.js","66.88"
"images/ch1/hinh-1-02.png","2","chapters/ch1/muc-I-4.html; js/pages.js","177.17"
"images/ch1/hinh-1-03.png","2","chapters/ch1/muc-I-6.html; js/pages.js","249.44"
"images/ch1/hinh-1-04.png","2","chapters/ch1/muc-I-8.html; js/pages.js","316.57"
"images/ch1/hinh-1-05.png","2","chapters/ch1/muc-II-1.html; js/pages.js","134.1"
"images/ch1/hinh-1-06.png","2","chapters/ch1/muc-II-2.html; js/pages.js","66.48"
"images/ch1/hinh-1-07.png","2","chapters/ch1/muc-II-3.html; js/pages.js","199.62"
"images/ch1/hinh-1-08.png","2","chapters/ch1/muc-II-4.html; js/pages.js","252.85"
"images/ch1/hinh-1-09.png","2","chapters/ch1/muc-II-5.html; js/pages.js","172.42"
"images/ch1/hinh-1-10a.png","2","chapters/ch1/muc-II-6.html; js/pages.js","552.62"
"images/ch1/hinh-1-10b.png","2","chapters/ch1/muc-II-6.html; js/pages.js","311"
"images/ch1/hinh-1-11.png","2","chapters/ch1/muc-III-1.html; js/pages.js","369.86"
"images/ch1/hinh-1-12.png","2","chapters/ch1/muc-III-2.html; js/pages.js","271.63"
"images/ch1/hinh-1-13.png","2","chapters/ch1/muc-III-3.html; js/pages.js","163.05"
"images/ch1/hinh-1-14.png","2","chapters/ch1/muc-III-4.html; js/pages.js","296.61"
"images/ch1/hinh-1-15.png","2","chapters/ch1/muc-III-5.html; js/pages.js","462.91"
"images/ch1/hinh-1-16.png","2","chapters/ch1/muc-III-6.html; js/pages.js","437.35"
"images/ch1/hinh-1-17.png","2","chapters/ch1/muc-III-7.html; js/pages.js","112.04"
"images/ch1/hinh-1-18.png","2","chapters/ch1/muc-IV-1.html; js/pages.js","175.08"
"images/ch1/hinh-1-19.png","2","chapters/ch1/muc-IV-2.html; js/pages.js","186.9"
"images/ch1/hinh-1-21.png","2","chapters/ch1/muc-IV-3.html; js/pages.js","3.75"
"images/ch1/hinh-1-22.png","2","chapters/ch1/muc-IV-3.html; js/pages.js","6.12"
"images/ch1/hinh-1-23.png","2","chapters/ch1/muc-IV-5.html; js/pages.js","211.34"
"images/ch1/hinh-1-24.png","2","chapters/ch1/muc-IV-5.html; js/pages.js","204.14"
"images/ch1/hinh-1-25.png","2","chapters/ch1/muc-IV-5.html; js/pages.js","88.94"
"images/ch1/hinh-1-26.png","2","chapters/ch1/muc-IV-5.html; js/pages.js","221.55"
"images/ch1/hinh-1-28a.png","2","chapters/ch1/muc-V-2.html; js/pages.js","57.05"
"images/ch1/hinh-1-28b.png","2","chapters/ch1/muc-V-2.html; js/pages.js","62.7"
"images/ch1/hinh-1-29.png","2","chapters/ch1/muc-V-2.html; js/pages.js","10.87"
"images/ch1/hinh-1-30a.png","2","chapters/ch1/muc-V-2.html; js/pages.js","44.09"
"images/ch1/hinh-1-30b.png","2","chapters/ch1/muc-V-2.html; js/pages.js","45.56"
